column,digit,count,observed,expected,deviation
JEEntryKey,1,0,0.0,0.3010299956639812,-0.3010299956639812
JEEntryKey,2,37905,1.0,0.17609125905568124,0.8239087409443188
JEEntryKey,3,0,0.0,0.12493873660829992,-0.12493873660829992
JEEntryKey,4,0,0.0,0.09691001300805642,-0.09691001300805642
JEEntryKey,5,0,0.0,0.07918124604762482,-0.07918124604762482
JEEntryKey,6,0,0.0,0.06694678963061322,-0.06694678963061322
JEEntryKey,7,0,0.0,0.05799194697768673,-0.05799194697768673
JEEntryKey,8,0,0.0,0.05115252244738129,-0.05115252244738129
JEEntryKey,9,0,0.0,0.04575749056067514,-0.04575749056067514
JENumber,1,0,0.0,0.3010299956639812,-0.3010299956639812
JENumber,2,37905,1.0,0.17609125905568124,0.8239087409443188
JENumber,3,0,0.0,0.12493873660829992,-0.12493873660829992
JENumber,4,0,0.0,0.09691001300805642,-0.09691001300805642
JENumber,5,0,0.0,0.07918124604762482,-0.07918124604762482
JENumber,6,0,0.0,0.06694678963061322,-0.06694678963061322
JENumber,7,0,0.0,0.05799194697768673,-0.05799194697768673
JENumber,8,0,0.0,0.05115252244738129,-0.05115252244738129
JENumber,9,0,0.0,0.04575749056067514,-0.04575749056067514
JEIdentifier,1,0,0.0,0.3010299956639812,-0.3010299956639812
JEIdentifier,2,37905,1.0,0.17609125905568124,0.8239087409443188
JEIdentifier,3,0,0.0,0.12493873660829992,-0.12493873660829992
JEIdentifier,4,0,0.0,0.09691001300805642,-0.09691001300805642
JEIdentifier,5,0,0.0,0.07918124604762482,-0.07918124604762482
JEIdentifier,6,0,0.0,0.06694678963061322,-0.06694678963061322
JEIdentifier,7,0,0.0,0.05799194697768673,-0.05799194697768673
JEIdentifier,8,0,0.0,0.05115252244738129,-0.05115252244738129
JEIdentifier,9,0,0.0,0.04575749056067514,-0.04575749056067514
GLAccountNumber,1,20110,0.5313077939233818,0.3010299956639812,0.2302777982594006
GLAccountNumber,2,2142,0.056591809775429325,0.17609125905568124,-0.11949944928025191
GLAccountNumber,3,0,0.0,0.12493873660829992,-0.12493873660829992
GLAccountNumber,4,8540,0.22562747688243065,0.09691001300805642,0.12871746387437422
GLAccountNumber,5,2975,0.0785997357992074,0.07918124604762482,-0.0005815102484174189
GLAccountNumber,6,8,0.00021136063408190226,0.06694678963061322,-0.06673542899653132
GLAccountNumber,7,4023,0.1062879788639366,0.05799194697768673,0.04829603188624986
GLAccountNumber,8,52,0.0013738441215323646,0.05115252244738129,-0.049778678325848924
GLAccountNumber,9,0,0.0,0.04575749056067514,-0.04575749056067514
Debit,1,5725,0.302094876259828,0.3010299956639812,0.0010648805958468066
Debit,2,3472,0.18320932932299086,0.17609125905568124,0.007118070267309623
Debit,3,2230,0.11767189066540024,0.12493873660829992,-0.007266845942899683
Debit,4,1717,0.09060207904596064,0.09691001300805642,-0.00630793396209578
Debit,5,1414,0.07461347686137934,0.07918124604762482,-0.004567769186245477
Debit,6,1190,0.06279352013086381,0.06694678963061322,-0.00415326949974941
Debit,7,940,0.049601604136984855,0.05799194697768673,-0.008390342840701878
Debit,8,858,0.04527465569099256,0.05115252244738129,-0.005877866756388732
Debit,9,1405,0.07413856788559971,0.04575749056067514,0.028381077324924564
Credit,1,5724,0.301994301994302,0.3010299956639812,0.0009643063303207966
Credit,2,3473,0.18323309064049806,0.17609125905568124,0.007141831584816821
Credit,3,2232,0.1177587844254511,0.12493873660829992,-0.007179952182848823
Credit,4,1718,0.09064049804790546,0.09691001300805642,-0.0062695149601509625
Credit,5,1415,0.07465442650627836,0.07918124604762482,-0.004526819541346455
Credit,6,1189,0.06273082199008125,0.06694678963061322,-0.004215967640531976
Credit,7,940,0.049593753297457,0.05799194697768673,-0.008398193680229732
Credit,8,858,0.04526748971193416,0.05115252244738129,-0.005885032735447132
Credit,9,1405,0.07412683338609265,0.04575749056067514,0.028369342825417504
Amount,1,11449,0.3020445851470782,0.3010299956639812,0.001014589483097017
Amount,2,6945,0.18322121092204194,0.17609125905568124,0.007129951866360701
Amount,3,4462,0.11771534098403905,0.12493873660829992,-0.007223395624260873
Amount,4,3435,0.09062129006727344,0.09691001300805642,-0.006288722940782976
Amount,5,2829,0.07463395330431341,0.07918124604762482,-0.004547292743311407
Amount,6,2379,0.0627621685793431,0.06694678963061322,-0.0041846210512701265
Amount,7,1880,0.049597678406542674,0.05799194697768673,-0.008394268571144059
Amount,8,1716,0.045271072417886825,0.05115252244738129,-0.005881450029494466
Amount,9,2810,0.07413270017148134,0.04575749056067514,0.028375209610806196
